"filename", "language", "PHP", "JSON", "Markdown", "XML", "HTML", "JavaScript", "PostCSS", "comment", "blank", "total"
"d:\wamp\www\Supply\app\Http\Controllers\CommandeController.php", "PHP", 353, 0, 0, 0, 0, 0, 0, 77, 88, 518
"d:\wamp\www\Supply\app\Http\Controllers\Controller.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 1, 3, 9
"d:\wamp\www\Supply\app\Http\Controllers\FavoriteController.php", "PHP", 55, 0, 0, 0, 0, 0, 0, 6, 15, 76
"d:\wamp\www\Supply\app\Http\Controllers\MessageController.php", "PHP", 199, 0, 0, 0, 0, 0, 0, 36, 32, 267
"d:\wamp\www\Supply\app\Http\Controllers\PanierController.php", "PHP", 143, 0, 0, 0, 0, 0, 0, 26, 27, 196
"d:\wamp\www\Supply\app\Http\Controllers\ProduitController.php", "PHP", 79, 0, 0, 0, 0, 0, 0, 15, 17, 111
"d:\wamp\www\Supply\app\Http\Controllers\ProfileController.php", "PHP", 47, 0, 0, 0, 0, 0, 0, 15, 18, 80
"d:\wamp\www\Supply\app\Http\Controllers\SearchController.php", "PHP", 69, 0, 0, 0, 0, 0, 0, 10, 12, 91
"d:\wamp\www\Supply\app\Http\Controllers\ValidationController.php", "PHP", 82, 0, 0, 0, 0, 0, 0, 23, 25, 130
"d:\wamp\www\Supply\app\Http\Controllers\VendeurProduitController.php", "PHP", 798, 0, 0, 0, 0, 0, 0, 140, 163, 1101
"d:\wamp\www\Supply\app\Http\Controllers\Vendeur\EspaceVendeurController.php", "PHP", 68, 0, 0, 0, 0, 0, 0, 17, 18, 103
"d:\wamp\www\Supply\app\Http\Controllers\Vendeur\StockController.php", "PHP", 92, 0, 0, 0, 0, 0, 0, 17, 26, 135
"d:\wamp\www\Supply\app\Http\Controllers\VendorStatisticsController.php", "PHP", 124, 0, 0, 0, 0, 0, 0, 16, 20, 160
"d:\wamp\www\Supply\app\Http\Middleware\AdminMiddleware.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 7, 7, 33
"d:\wamp\www\Supply\app\Http\Middleware\LogSecurityEvents.php", "PHP", 51, 0, 0, 0, 0, 0, 0, 10, 12, 73
"d:\wamp\www\Supply\app\Http\Middleware\VendeurMiddleware.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 5, 5, 25
"d:\wamp\www\Supply\app\Http\Requests\Auth\LoginRequest.php", "PHP", 51, 0, 0, 0, 0, 0, 0, 21, 14, 86
"d:\wamp\www\Supply\app\Http\Requests\ProfileUpdateRequest.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 5, 4, 31
"d:\wamp\www\Supply\app\Listeners\SendWelcomeEmail.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 7, 6, 32
"d:\wamp\www\Supply\app\Mail\EmailVerificationCodeMail.php", "PHP", 38, 0, 0, 0, 0, 0, 0, 14, 8, 60
"d:\wamp\www\Supply\app\Mail\NewVendorRegistrationNotification.php", "PHP", 36, 0, 0, 0, 0, 0, 0, 12, 8, 56
"d:\wamp\www\Supply\app\Mail\VendorApprovedMail.php", "PHP", 36, 0, 0, 0, 0, 0, 0, 12, 8, 56
"d:\wamp\www\Supply\app\Mail\VendorRejectedMail.php", "PHP", 36, 0, 0, 0, 0, 0, 0, 12, 8, 56
"d:\wamp\www\Supply\app\Mail\WelcomeEmail.php", "PHP", 38, 0, 0, 0, 0, 0, 0, 14, 8, 60
"d:\wamp\www\Supply\app\Models\AdminRole.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 3, 7, 30
"d:\wamp\www\Supply\app\Models\AuditLog.php", "PHP", 73, 0, 0, 0, 0, 0, 0, 12, 13, 98
"d:\wamp\www\Supply\app\Models\Avis.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 7, 31
"d:\wamp\www\Supply\app\Models\Categorie.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"d:\wamp\www\Supply\app\Models\CiCommune.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 6, 22
"d:\wamp\www\Supply\app\Models\CiDistrict.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 6, 22
"d:\wamp\www\Supply\app\Models\CiQuartier.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"d:\wamp\www\Supply\app\Models\CiRegion.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"d:\wamp\www\Supply\app\Models\Commande.php", "PHP", 58, 0, 0, 0, 0, 0, 0, 0, 13, 71
"d:\wamp\www\Supply\app\Models\Commune.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 6, 23
"d:\wamp\www\Supply\app\Models\DeliveryTracking.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 6, 28
"d:\wamp\www\Supply\app\Models\DeliveryZone.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 7, 28
"d:\wamp\www\Supply\app\Models\Dispute.php", "PHP", 51, 0, 0, 0, 0, 0, 0, 3, 11, 65
"d:\wamp\www\Supply\app\Models\District.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 6, 23
"d:\wamp\www\Supply\app\Models\Favorite.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 6, 22
"d:\wamp\www\Supply\app\Models\LigneCommande.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 6, 28
"d:\wamp\www\Supply\app\Models\Message.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 0, 9, 42
"d:\wamp\www\Supply\app\Models\Notification.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 6, 28
"d:\wamp\www\Supply\app\Models\Panier.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 6, 23
"d:\wamp\www\Supply\app\Models\PanierItem.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 6, 27
"d:\wamp\www\Supply\app\Models\Payment.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 5, 28
"d:\wamp\www\Supply\app\Models\Produit.php", "PHP", 79, 0, 0, 0, 0, 0, 0, 2, 17, 98
"d:\wamp\www\Supply\app\Models\Promotion.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 6, 30
"d:\wamp\www\Supply\app\Models\Quartier.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"d:\wamp\www\Supply\app\Models\Region.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"d:\wamp\www\Supply\app\Models\SecurityLog.php", "PHP", 83, 0, 0, 0, 0, 0, 0, 22, 13, 118
"d:\wamp\www\Supply\app\Models\Stock.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 6, 25
"d:\wamp\www\Supply\app\Models\StockAlert.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 3, 7, 33
"d:\wamp\www\Supply\app\Models\StockMouvement.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 1, 7, 35
"d:\wamp\www\Supply\app\Models\SystemConfiguration.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 9, 8, 50
"d:\wamp\www\Supply\app\Models\User.php", "PHP", 144, 0, 0, 0, 0, 0, 0, 31, 31, 206
"d:\wamp\www\Supply\app\Models\UserBan.php", "PHP", 42, 0, 0, 0, 0, 0, 0, 3, 10, 55
"d:\wamp\www\Supply\app\Models\UserDocument.php", "PHP", 43, 0, 0, 0, 0, 0, 0, 6, 9, 58
"d:\wamp\www\Supply\app\Models\VendorValidation.php", "PHP", 65, 0, 0, 0, 0, 0, 0, 18, 13, 96
"d:\wamp\www\Supply\app\Providers\AppServiceProvider.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 7, 5, 26
"d:\wamp\www\Supply\app\Providers\EventServiceProvider.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 11, 5, 32
"d:\wamp\www\Supply\app\Services\AuditService.php", "PHP", 200, 0, 0, 0, 0, 0, 0, 42, 20, 262
"d:\wamp\www\Supply\app\Services\CurrencyConverterService.php", "PHP", 73, 0, 0, 0, 0, 0, 0, 17, 19, 109
"d:\wamp\www\Supply\app\Services\DeviceParserService.php", "PHP", 86, 0, 0, 0, 0, 0, 0, 15, 8, 109
"d:\wamp\www\Supply\app\Services\PaymentService.php", "PHP", 103, 0, 0, 0, 0, 0, 0, 19, 14, 136
"d:\wamp\www\Supply\app\Services\StockService.php", "PHP", 81, 0, 0, 0, 0, 0, 0, 26, 15, 122
"d:\wamp\www\Supply\app\View\Components\AppLayout.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 3, 4, 18
"d:\wamp\www\Supply\app\View\Components\GuestLayout.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 3, 4, 18
"d:\wamp\www\Supply\app\View\Components\Icon.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 6, 23
"d:\wamp\www\Supply\app\View\Components\IconMapper.php", "PHP", 50, 0, 0, 0, 0, 0, 0, 0, 8, 58
"d:\wamp\www\Supply\bootstrap\app.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 4, 5, 32
"d:\wamp\www\Supply\bootstrap\cache\events.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 16
"d:\wamp\www\Supply\bootstrap\cache\packages.php", "PHP", 79, 0, 0, 0, 0, 0, 0, 0, 0, 79
"d:\wamp\www\Supply\bootstrap\cache\services.php", "PHP", 276, 0, 0, 0, 0, 0, 0, 0, 0, 276
"d:\wamp\www\Supply\bootstrap\providers.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
