"filename", "language", "JavaScript", "PHP", "JSON", "Markdown", "XML", "HTML", "PostCSS", "comment", "blank", "total"
"d:\wamp\www\Supply\database\migrations\2026_01_07_000000_add_user_id_to_produits.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 8, 4, 34
"d:\wamp\www\Supply\database\migrations\2026_01_07_000001_add_boutique_fields_to_users.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 7, 4, 32
"d:\wamp\www\Supply\database\migrations\2026_01_08_100410_create_stock_mouvements_table.php", "PHP", 0, 28, 0, 0, 0, 0, 0, 6, 5, 39
"d:\wamp\www\Supply\database\migrations\2026_01_08_101900_add_est_actif_to_produits_table.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 6, 4, 29
"d:\wamp\www\Supply\database\migrations\2026_01_15_000000_add_vendor_fields_to_users_table.php", "PHP", 0, 33, 0, 0, 0, 0, 0, 7, 4, 44
"d:\wamp\www\Supply\database\migrations\2026_01_15_150000_fix_user_roles.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 8, 4, 28
"d:\wamp\www\Supply\database\migrations\2026_01_16_000615_create_favorites_table.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 7, 5, 33
"d:\wamp\www\Supply\database\migrations\2026_02_28_000000_add_profile_photo_to_users_table.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 6, 4, 29
"d:\wamp\www\Supply\database\migrations\2026_02_28_000001_add_delivery_location_to_users.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 7, 4, 31
"d:\wamp\www\Supply\database\migrations\2026_02_28_000002_create_security_logs_table.php", "PHP", 0, 33, 0, 0, 0, 0, 0, 11, 10, 54
"d:\wamp\www\Supply\database\migrations\2026_03_01_000000_add_email_verification_code_to_users_table.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 6, 4, 30
"d:\wamp\www\Supply\database\migrations\2026_03_01_000001_create_delivery_locations_and_payment_cinema.php", "PHP", 0, 61, 0, 0, 0, 0, 0, 6, 11, 78
"d:\wamp\www\Supply\database\migrations\2026_03_01_add_country_to_users_table.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 6, 4, 33
"d:\wamp\www\Supply\database\migrations\2026_03_01_create_ci_locations_tables.php", "PHP", 0, 46, 0, 0, 0, 0, 0, 10, 7, 63
"d:\wamp\www\Supply\database\migrations\2026_03_02_125517_modify_produits_image_to_json.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 8, 5, 34
"d:\wamp\www\Supply\database\migrations\2026_03_02_231909_fix_image_paths.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 9, 5, 33
"d:\wamp\www\Supply\database\seeders\CiLocationSeeder.php", "PHP", 0, 94, 0, 0, 0, 0, 0, 8, 14, 116
"d:\wamp\www\Supply\database\seeders\CiLocationsSeeder.php", "PHP", 0, 117, 0, 0, 0, 0, 0, 7, 14, 138
"d:\wamp\www\Supply\database\seeders\CoteIvoireLocationSeeder.php", "PHP", 0, 145, 0, 0, 0, 0, 0, 16, 20, 181
"d:\wamp\www\Supply\database\seeders\CreateTestShopSeeder.php", "PHP", 0, 30, 0, 0, 0, 0, 0, 5, 6, 41
"d:\wamp\www\Supply\database\seeders\DatabaseSeeder.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 3, 5, 25
"d:\wamp\www\Supply\database\seeders\FixProductPrices.php", "PHP", 0, 34, 0, 0, 0, 0, 0, 4, 6, 44
"d:\wamp\www\Supply\database\seeders\ImageCategorieSeeder.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 1, 5, 27
"d:\wamp\www\Supply\database\seeders\ImageProduitSeeder.php", "PHP", 0, 33, 0, 0, 0, 0, 0, 1, 5, 39
"d:\wamp\www\Supply\database\seeders\ProduitSeeder.php", "PHP", 0, 121, 0, 0, 0, 0, 0, 30, 30, 181
"d:\wamp\www\Supply\database\seeders\SimpleProduitSeeder.php", "PHP", 0, 44, 0, 0, 0, 0, 0, 8, 12, 64
"d:\wamp\www\Supply\database\seeders\TestAccountsSeeder.php", "PHP", 0, 34, 0, 0, 0, 0, 0, 5, 6, 45
"d:\wamp\www\Supply\database\seeders\TestUserSeeder.php", "PHP", 0, 39, 0, 0, 0, 0, 0, 2, 5, 46
"d:\wamp\www\Supply\database\seeders\UpdateProductPricesAndRatings.php", "PHP", 0, 38, 0, 0, 0, 0, 0, 0, 5, 43
"d:\wamp\www\Supply\database\seeders\UserSeeder.php", "PHP", 0, 39, 0, 0, 0, 0, 0, 6, 7, 52
"d:\wamp\www\Supply\lang\fr\auth.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"d:\wamp\www\Supply\lang\fr\passwords.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"d:\wamp\www\Supply\lang\fr\validation.php", "PHP", 0, 125, 0, 0, 0, 0, 0, 20, 6, 151
"d:\wamp\www\Supply\package-lock.json", "JSON", 0, 0, 4450, 0, 0, 0, 0, 0, 1, 4451
"d:\wamp\www\Supply\package.json", "JSON", 0, 0, 32, 0, 0, 0, 0, 0, 1, 33
