"filename", "language", "Markdown", "PHP", "JSON", "JavaScript", "comment", "blank", "total"
"d:\wamp\www\Supply\database\migrations\2026_01_08_101900_add_est_actif_to_produits_table.php", "PHP", 0, 2, 0, 0, 0, 0, 2
"d:\wamp\www\Supply\database\migrations\2026_01_15_000000_add_vendor_fields_to_users_table.php", "PHP", 0, 18, 0, 0, 0, 0, 18
"d:\wamp\www\Supply\database\migrations\2026_03_02_000001_create_admin_roles_table.php", "PHP", 0, 29, 0, 0, 7, 6, 42
"d:\wamp\www\Supply\database\migrations\2026_03_02_000002_create_user_documents_table.php", "PHP", 0, 26, 0, 0, 6, 5, 37
"d:\wamp\www\Supply\database\migrations\2026_03_02_000003_create_user_bans_table.php", "PHP", 0, 34, 0, 0, 7, 7, 48
"d:\wamp\www\Supply\database\migrations\2026_03_02_000004_create_stock_alerts_table.php", "PHP", 0, 34, 0, 0, 7, 7, 48
"d:\wamp\www\Supply\database\migrations\2026_03_02_000005_create_disputes_table.php", "PHP", 0, 32, 0, 0, 6, 5, 43
"d:\wamp\www\Supply\database\migrations\2026_03_02_000006_create_system_configurations_table.php", "PHP", 0, 22, 0, 0, 6, 4, 32
"d:\wamp\www\Supply\database\migrations\2026_03_02_000007_create_delivery_zones_table.php", "PHP", 0, 42, 0, 0, 8, 8, 58
"d:\wamp\www\Supply\database\migrations\2026_03_02_000008_create_delivery_tracking_table.php", "PHP", 0, 40, 0, 0, 7, 7, 54
"d:\wamp\www\Supply\database\migrations\2026_03_03_000009_create_audit_logs_table.php", "PHP", 0, 30, 0, 0, 1, 5, 36
"d:\wamp\www\Supply\database\migrations\2026_03_03_000010_add_vendor_validation_to_users.php", "PHP", 0, 27, 0, 0, 0, 4, 31
"d:\wamp\www\Supply\database\migrations\2026_03_03_000011_add_is_active_to_categories.php", "PHP", 0, 23, 0, 0, 7, 4, 34
"d:\wamp\www\Supply\database\migrations\2026_03_03_000012_create_vendor_validations_table.php", "PHP", 0, 29, 0, 0, 1, 5, 35
"d:\wamp\www\Supply\database\migrations\2026_03_03_000013_add_model_name_reason_to_audit_logs.php", "PHP", 0, 33, 0, 0, 1, 4, 38
"d:\wamp\www\Supply\database\migrations\2026_03_04_000000_add_produit_id_to_messages.php", "PHP", 0, 24, 0, 0, 0, 4, 28
"d:\wamp\www\Supply\database\migrations\2026_03_04_000001_add_pays_to_commandes.php", "PHP", 0, 23, 0, 0, 0, 4, 27
"d:\wamp\www\Supply\database\migrations\2026_03_04_000002_fix_delivery_tracking_table_name.php", "PHP", 0, 43, 0, 0, 12, 7, 62
"d:\wamp\www\Supply\database\migrations\2026_03_04_fix_vendor_status_column.php", "PHP", 0, 15, 0, 0, 2, 5, 22
"d:\wamp\www\Supply\database\migrations\2026_03_05_012037_add_lu_column_to_avis_table.php", "PHP", 0, 19, 0, 0, 6, 4, 29
"d:\wamp\www\Supply\database\seeders\AdminSeeder.php", "PHP", 0, 103, 0, 0, 5, 17, 125
"d:\wamp\www\Supply\database\seeders\ProduitSeeder.php", "PHP", 0, 12, 0, 0, 2, 1, 15
"d:\wamp\www\Supply\resources\views\admin\audit\index.blade.php", "PHP", 0, 430, 0, 0, 0, 19, 449
"d:\wamp\www\Supply\resources\views\admin\audit\show.blade.php", "PHP", 0, 266, 0, 0, 0, 16, 282
"d:\wamp\www\Supply\resources\views\admin\audit\stats.blade.php", "PHP", 0, 430, 0, 0, 2, 24, 456
"d:\wamp\www\Supply\resources\views\admin\audit\user.blade.php", "PHP", 0, 121, 0, 0, 0, 5, 126
"d:\wamp\www\Supply\resources\views\admin\categories\create.blade.php", "PHP", 0, 58, 0, 0, 0, 8, 66
"d:\wamp\www\Supply\resources\views\admin\categories\edit.blade.php", "PHP", 0, 98, 0, 0, 0, 10, 108
"d:\wamp\www\Supply\resources\views\admin\categories\index.blade.php", "PHP", 0, 129, 0, 0, 0, 8, 137
"d:\wamp\www\Supply\resources\views\admin\categories\show.blade.php", "PHP", 0, 135, 0, 0, 0, 7, 142
"d:\wamp\www\Supply\resources\views\admin\configuration\delivery-zones.blade.php", "PHP", 0, 134, 0, 0, 0, 11, 145
"d:\wamp\www\Supply\resources\views\admin\configuration\index.blade.php", "PHP", 0, 72, 0, 0, 0, 13, 85
"d:\wamp\www\Supply\resources\views\admin\dashboard-new.blade.php", "PHP", 0, 312, 0, 0, 0, 21, 333
"d:\wamp\www\Supply\resources\views\admin\dashboard.blade.php", "PHP", 0, 694, 0, 0, 5, 39, 738
"d:\wamp\www\Supply\resources\views\admin\disputes\index.blade.php", "PHP", 0, 141, 0, 0, 0, 12, 153
"d:\wamp\www\Supply\resources\views\admin\disputes\show.blade.php", "PHP", 0, 167, 0, 0, 0, 18, 185
"d:\wamp\www\Supply\resources\views\admin\orders\delivery-overview.blade.php", "PHP", 0, 110, 0, 0, 0, 12, 122
"d:\wamp\www\Supply\resources\views\admin\orders\index.blade.php", "PHP", 0, 152, 0, 0, 0, 10, 162
"d:\wamp\www\Supply\resources\views\admin\orders\show.blade.php", "PHP", 0, 202, 0, 0, 0, 21, 223
"d:\wamp\www\Supply\resources\views\admin\orders\tracking.blade.php", "PHP", 0, 194, 0, 0, 0, 19, 213
"d:\wamp\www\Supply\resources\views\admin\products\index.blade.php", "PHP", 0, 148, 0, 0, 0, 10, 158
"d:\wamp\www\Supply\resources\views\admin\products\show.blade.php", "PHP", 0, 171, 0, 0, 0, 18, 189
"d:\wamp\www\Supply\resources\views\admin\products\stock-history.blade.php", "PHP", 0, 124, 0, 0, 0, 10, 134
"d:\wamp\www\Supply\resources\views\admin\reports\financial.blade.php", "PHP", 0, 148, 0, 0, 0, 12, 160
"d:\wamp\www\Supply\resources\views\admin\reports\product-popularity.blade.php", "PHP", 0, 104, 0, 0, 0, 6, 110
"d:\wamp\www\Supply\resources\views\admin\reports\stock-audit.blade.php", "PHP", 0, 151, 0, 0, 0, 11, 162
"d:\wamp\www\Supply\resources\views\admin\reports\user-activity.blade.php", "PHP", 0, 105, 0, 0, 0, 10, 115
"d:\wamp\www\Supply\resources\views\admin\reports\vendor-performance.blade.php", "PHP", 0, 95, 0, 0, 0, 5, 100
"d:\wamp\www\Supply\resources\views\admin\users\documents.blade.php", "PHP", 0, 161, 0, 0, 0, 10, 171
"d:\wamp\www\Supply\resources\views\admin\users\index.blade.php", "PHP", 0, 484, 0, 0, 2, 59, 545
"d:\wamp\www\Supply\resources\views\admin\users\show.blade.php", "PHP", 0, 308, 0, 0, 0, 15, 323
"d:\wamp\www\Supply\resources\views\admin\vendors\approved.blade.php", "PHP", 0, 76, 0, 0, 0, 6, 82
"d:\wamp\www\Supply\resources\views\admin\vendors\index.blade.php", "PHP", 0, 170, 0, 0, 0, 10, 180
"d:\wamp\www\Supply\resources\views\admin\vendors\pending.blade.php", "PHP", 0, 75, 0, 0, 0, 5, 80
"d:\wamp\www\Supply\resources\views\admin\vendors\show.blade.php", "PHP", 0, 368, 0, 0, 0, 18, 386
"d:\wamp\www\Supply\resources\views\auth\logout-confirm.blade.php", "PHP", 0, 33, 0, 0, 0, 5, 38
"d:\wamp\www\Supply\resources\views\auth\vendor-pending.blade.php", "PHP", 0, 83, 0, 0, 0, 10, 93
"d:\wamp\www\Supply\resources\views\auth\verify-email.blade.php", "PHP", 0, -3, 0, 0, 0, 0, -3
"d:\wamp\www\Supply\resources\views\client\commande-detail.blade.php", "PHP", 0, 4, 0, 0, 0, 0, 4
"d:\wamp\www\Supply\resources\views\client\dashboard.blade.php", "PHP", 0, 13, 0, 0, 0, 0, 13
"d:\wamp\www\Supply\resources\views\client\profil.blade.php", "PHP", 0, 10, 0, 0, 0, 0, 10
"d:\wamp\www\Supply\resources\views\commandes\create.blade.php", "PHP", 0, 18, 0, 0, 0, 1, 19
